,Awards,Awards_Won,Awards_Nominated,Prime_Awards_Nominated,Oscar_Awards_Nominated,Golden_Globe_Awards_Nominated,BAFTA_Awards_Nominated,Prime_Awards_won,Oscar_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won
24,2 wins.,2,0,0,0,0,0,0,0,0,0
25,6 wins & 4 nominations.,6,4,0,0,0,0,0,0,0,0
26,7 wins & 6 nominations.,7,6,0,0,0,0,0,0,0,0
27,9 wins & 30 nominations.,9,30,0,0,0,0,0,0,0,0
28,Won 1 Primetime Emmy. Another 1 win & 6 nominations.,2,6,0,0,0,0,1,0,0,0
29,1 nomination.,0,1,0,0,0,0,0,0,0,0
30,Nominated for 3 BAFTA Film Awards. Another 11 wins & 39 nominations.,11,42,0,0,0,3,0,0,0,0
31,6 nominations.,0,6,0,0,0,0,0,0,0,0
32,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
33,2 wins & 5 nominations.,2,5,0,0,0,0,0,0,0,0
34,14 wins & 11 nominations.,14,11,0,0,0,0,0,0,0,0
35,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
36,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
37,2 nominations.,0,2,0,0,0,0,0,0,0,0
38,3 wins & 3 nominations.,3,3,0,0,0,0,0,0,0,0
39,Nominated for 1 Golden Globe. Another 2 wins & 14 nominations.,2,15,0,0,1,0,0,0,0,0
40,2 wins.,2,0,0,0,0,0,0,0,0,0
41,Nominated for 1 Primetime Emmy. Another 1 nomination.,0,2,1,0,0,0,0,0,0,0
42,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
43,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
44,1 nomination.,0,1,0,0,0,0,0,0,0,0
45,2 wins.,2,0,0,0,0,0,0,0,0,0
46,1 nomination.,0,1,0,0,0,0,0,0,0,0
47,9 wins & 8 nominations.,9,8,0,0,0,0,0,0,0,0
48,1 win.,1,0,0,0,0,0,0,0,0,0
49,1 win.,1,0,0,0,0,0,0,0,0,0
50,15 wins & 4 nominations.,15,4,0,0,0,0,0,0,0,0
51,1 win.,1,0,0,0,0,0,0,0,0,0
52,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
53,3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0,0
54,8 wins & 8 nominations.,8,8,0,0,0,0,0,0,0,0
55,2 nominations.,0,2,0,0,0,0,0,0,0,0
56,1 nomination.,0,1,0,0,0,0,0,0,0,0
57,1 win.,1,0,0,0,0,0,0,0,0,0
58,1 nomination.,0,1,0,0,0,0,0,0,0,0
59,2 wins.,2,0,0,0,0,0,0,0,0,0
60,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
61,1 win.,1,0,0,0,0,0,0,0,0,0
62,4 nominations.,0,4,0,0,0,0,0,0,0,0
63,4 wins.,4,0,0,0,0,0,0,0,0,0
64,1 win.,1,0,0,0,0,0,0,0,0,0
65,15 nominations.,0,15,0,0,0,0,0,0,0,0
66,2 wins.,2,0,0,0,0,0,0,0,0,0
67,2 wins.,2,0,0,0,0,0,0,0,0,0
68,1 nomination.,0,1,0,0,0,0,0,0,0,0
69,1 nomination.,0,1,0,0,0,0,0,0,0,0
70,7 wins & 7 nominations.,7,7,0,0,0,0,0,0,0,0
71,1 nomination.,0,1,0,0,0,0,0,0,0,0
72,1 win.,1,0,0,0,0,0,0,0,0,0
73,1 nomination.,0,1,0,0,0,0,0,0,0,0
74,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
75,1 nomination.,0,1,0,0,0,0,0,0,0,0
76,1 win.,1,0,0,0,0,0,0,0,0,0
77,2 wins.,2,0,0,0,0,0,0,0,0,0
78,4 wins & 9 nominations.,4,9,0,0,0,0,0,0,0,0
79,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
80,1 win.,1,0,0,0,0,0,0,0,0,0
81,Won 11 Oscars. Another 174 wins & 113 nominations.,185,113,0,0,0,0,0,11,0,0
82,4 wins & 11 nominations.,4,11,0,0,0,0,0,0,0,0
83,3 wins & 4 nominations.,3,4,0,0,0,0,0,0,0,0
84,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
