asterisk,list_name,author,display_name,book_review_link,isbn10,description,publisher,rank,price,published_date,sunday_review_link,ranks_last_week,weeks_on_list,contributor,contributor_note,primary_isbn10,article_chapter_link,dagger,age_group,isbn13,primary_isbn13,title,bestsellers_date,first_chapter_link
0,Sports,Nathaniel Cros and John Strege,Sports and Fitness,,0062414283,The former professional golfer shares life lessons he absorbed while playing golf with his famous father.,Dey Street,8,0,2016-06-12,,,0,by Nathaniel Crosby and John Strege,,0062414283,,0,,9780062414281,9780062414281,18 HOLES WITH BING,2016-05-28,
,,Adam Goodheart,,,1400032199,A historian examines a period of Lincoln’s presidency.,Vintage,,0,,https://www.nytimes.com/2011/04/24/books/review/book-review-1861-the-civil-war-awakening-by-adam-goodheart.html,,,by Adam Goodheart,,,,,,9781400032198,,1861,,
,,David Traxel,,,0679776710,,,,0,,https://www.nytimes.com/1998/05/24/books/growing-pains.html,,,,,,,,,9780679776710,,1898: The Birth of the American Century,,
,,James Chace,,,0743273559,,,,0,,https://www.nytimes.com/2004/05/09/books/the-making-of-the-president-1912.html,,,,,,,,,9780743273558,,"1912: Wilson, Roosevelt, Taft and Debs--The Election that Changed the Country",,
,,Lyn Macdonald,,,0805034994,,,,0,,https://www.nytimes.com/1995/05/14/books/in-short-nonfiction-792395.html,,,,,,,,,9780805034998,,1915 The Death of Innocence (WWI),,
,,Isaac Babel,,,0300059663,,,,0,,https://www.nytimes.com/1995/06/04/books/a-jew-among-the-cossacks.html,,,,,,,,,9780300059663,,1920 Diary,,
,,Alberto Moravia,,,0374526524,,,,0,,https://www.nytimes.com/1983/05/08/books/desperate-remedies.html,,,,,,,,,9780374526528,,1934: A Novel,,
,,David Gelernter,,,038072748X,,,,0,,https://www.nytimes.com/1995/07/02/books/meet-me-at-the-fair.html,,,,,,,,,9780380727483,,1939: Lost World of Fair,,
,,Winston Groom,,,0802142508,,,,0,,https://www.nytimes.com/2005/05/29/books/review/29COHENL.html,,,,,,,,,9780802142504,,1942: The Year That Tried Men's Souls,,
0,Hardcover Nonfiction,Jay Winik,Hardcover Nonfiction,,1439136475,"A pivotal year that saw D-Day, the liberation of Paris, Franklin Roosevelt’s re-election and the Battle of the Bulge.",Simon & Schuster,9,0,2015-10-11,https://www.nytimes.com/2015/11/08/books/review/jay-winiks-1944-fdr-and-the-year-that-changed-history.html,,1,by Jay Winik,,1439114080,,0,,9781439136478,9781439114087,1944,2015-09-26,
,,Tom Segev,,,0805088121,,,,0,,https://www.nytimes.com/2007/07/15/books/review/Margolick-t.html,,,,,,,,,9780805088120,,"1967: Israel, the War, and the Year that Transformed the Middle East",,
,,Alasdair Gray,,,1841953466,,,,0,,https://www.nytimes.com/1984/10/28/books/the-impulse-to-outrage.html,,,,,,,,,9781841953465,,"1982, Janine (Canongate Classics)",,
,,Andrew McGahan,,,0312180322,,,,0,,https://www.nytimes.com/1997/02/23/books/australia-not-that-boring.html,,,,,,,,,9780312180324,,1988,,
0,Trade Fiction Paperback,Haruki Murakami,Paperback Trade Fiction,https://www.nytimes.com/2011/11/10/books/1q84-by-haruki-murakami-review.html,0307476464,"In 1980s Tokyo, a woman who punishes perpetrators of domestic violence has ties to an aspiring novelist with an unusual project.",Vintage,34,0,2013-03-31,https://www.nytimes.com/2011/11/06/books/review/1q84-by-haruki-murakami-translated-by-jay-rubin-and-philip-gabriel-book-review.html,,0,by Haruki Murakami,,0307476464,,0,,9780307476463,9780307476463,1Q84,2013-03-16,
0,Sports,Daniel Lacerda,Sports and Fitness,,1631910108,An illustrated dictionary of yoga poses reveals the range of athleticism possible from beginning through advanced levels.,Black Dog,13,0,2015-12-13,,,0,by Daniel Lacerda,,1631910108,,0,,9781631910104,9781631910104,"2,100 ASANAS",2015-11-28,
,,"Bob Greene with Howard Lancer, Ronald L Kotler and Diane L McKay",,,0316133787,"Feeling better as you age by addressing exercise, diet, sleep and skin care.","Little, Brown",,0,,,,,"by Bob Greene with Howard Lancer, Ronald L. Kotler and Diane L. McKay",,,,,,9780316133784,,20 YEARS YOUNGER,,
,,Hart Seely,,,0375504125,,,,0,,https://www.nytimes.com/2000/07/09/books/books-in-brief-nonfiction-996742.html,,,,,,,,,9780375504129,,2007-Eleven: And Other American Comedies,,
,,Dick Morris and Eileen McGann,,,0061988448,The most vulnerable incumbent Democrats and how to defeat them.,Harper/HarperCollins,,0,,,,,by Dick Morris and Eileen McGann,,,,,,9780061988448,,2010 TAKE BACK AMERICA,,
,,Daniel Pinchbeck,,,1585425923,,,,0,,https://www.nytimes.com/2006/06/18/books/review/18swofford.html,,,,,,,,,9781585425921,,2012: The Return of Quetzalcoatl,,
0,Sports,the staff of Major League Baseball,Sports and Fitness,,077100317X,,McClelland & Stewart,15,0,2016-12-11,,,0,by the staff of Major League Baseball,,077100317X,,0,,9780771003172,9780771003172,2016 WORLD SERIES CHAMPIONS: THE CHICAGO CUBS,2016-11-26,
0,E-Book Fiction,Albert Brooks,E-Book Fiction,https://www.nytimes.com/2011/05/02/books/albert-brookss-2030-his-first-novel-review.html,1429996501,"In 2030, the young resent the elderly for draining the weakening economy, and a devastating earthquake in Los Angeles tests the administration of the country's first Jewish president.",St. Martin's,29,0,2011-05-29,https://www.nytimes.com/2011/05/22/books/review/book-review-2030-by-albert-brooks.html,,0,by Albert Brooks,,1429996501,https://www.nytimes.com/2011/05/04/books/albert-brooks-the-novelist-relishes-his-worries-in-2030.html,0,,9781429996501,9781429996501,2030,2011-05-14,
